PixelIconName,SymbolId,Provider,SourceName,Folder,Category,Variant,License
Add,add,MaterialSymbols,add,actions,Actions,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Edit,edit,MaterialSymbols,edit,actions,Actions,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Delete,delete,MaterialSymbols,delete,actions,Actions,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Save,save,MaterialSymbols,save,actions,Actions,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Close,close,MaterialSymbols,close,actions,Actions,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Search,search,MaterialSymbols,search,actions,Actions,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
More,more,MaterialSymbols,more_vert,actions,Actions,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Complete,complete,MaterialSymbols,task_alt,actions,Actions,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Filter,filter,MaterialSymbols,filter_alt,actions,Actions,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Calendar,calendar,MaterialSymbols,calendar_month,actions,Actions,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Repeat,repeat,MaterialSymbols,repeat,actions,Actions,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Tag,tag,MaterialSymbols,label,actions,Actions,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Attribute,attribute,MaterialSymbols,tune,actions,Actions,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Cancel,cancel,MaterialSymbols,cancel,actions,Actions,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Check,check,MaterialSymbols,check,feedback,Feedback,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Habit,habit,MaterialSymbols,repeat,habits,Activities,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
RecurringTask,recurring-task,MaterialSymbols,event_repeat,tasks,Activities,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Project,project,MaterialSymbols,folder,projects,Activities,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Todo,todo,MaterialSymbols,checklist,tasks,Activities,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Warning,warning,MaterialSymbols,warning,feedback,Feedback,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Information,info,MaterialSymbols,info,feedback,Feedback,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Success,success,MaterialSymbols,check_circle,feedback,Feedback,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
ValidationError,validation-error,MaterialSymbols,error,feedback,Feedback,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Loading,loading,MaterialSymbols,progress_activity,feedback,Feedback,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Featured,featured,MaterialSymbols,star,feedback,Feedback,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Select,select,MaterialSymbols,unfold_more,forms,Forms,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
CheckboxUnchecked,checkbox-unchecked,MaterialSymbols,check_box_outline_blank,forms,Forms,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
CheckboxChecked,checkbox-checked,MaterialSymbols,check_box,forms,Forms,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Account,user,MaterialSymbols,account_circle,character,Navigation,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Language,language,MaterialSymbols,language,system,Navigation,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
ChevronDown,chevron-down,MaterialSymbols,expand_more,navigation,Navigation,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
ChevronLeft,chevron-left,MaterialSymbols,chevron_left,navigation,Navigation,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
ChevronRight,chevron-right,MaterialSymbols,chevron_right,navigation,Navigation,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Library,book,MaterialSymbols,menu_book,books,Navigation,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Daily,daily,MaterialSymbols,today,navigation,Navigation,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Home,home,MaterialSymbols,home,navigation,Navigation,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Character,character,MaterialSymbols,person,character,Navigation,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Donate,donate,MaterialSymbols,volunteer_activism,navigation,Navigation,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Logout,logout,MaterialSymbols,logout,navigation,Navigation,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Menu,menu,MaterialSymbols,menu,navigation,Navigation,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Support,support,MaterialSymbols,support_agent,navigation,Navigation,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Facebook,facebook,Devicon,facebook-original,social,Social,original,MIT
Instagram,instagram,OfficialBrand,instagram,social,Social,Current,CC0-1.0
YouTube,youtube,OfficialBrand,youtube,social,Social,Current,CC0-1.0
X,x,OfficialBrand,x,social,Social,Current,CC0-1.0
LinkedIn,linkedin,Devicon,linkedin-original,social,Social,original,MIT
GitHub,github,Devicon,github-original,social,Social,original,MIT
Progress,progress,MaterialSymbols,bar_chart,statistics,Statistics,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
Experience,experience,MaterialSymbols,auto_awesome,statistics,Statistics,Rounded-Fill1-Wght400-Grad0-Opsz24,Apache-2.0
