Color,Normalized Value,Format(s) Found,Token,Semantic Role,Consumers,Occurrences,Status
Transparent | transparent,transparent,NAMED,,Transparent state,src/BeeDay.Web/wwwroot/css/design-system.css:6 | src/BeeDay.Web/Components/Features/Projects/Components/ProjectWorkspace.razor.css:6 | src/BeeDay.Web/wwwroot/app.css:4 | src/BeeDay.Web/wwwroot/css/cards.css:3 | src/BeeDay.Web/wwwroot/css/wallet.css:3 | src/BeeDay.Web/Components/Features/Dashboard/Components/ProjectContextFilter.razor.css:3 | src/BeeDay.Web/Components/Layout/MobileHeader.razor.css:2 | src/BeeDay.Web/Components/Layout/NavigationItem.razor.css:2 | src/BeeDay.Web/Components/Features/Habits/Components/HabitEditorModal.razor.css:2 | src/BeeDay.Web/Components/Features/Dashboard/Pages/Home.razor.css:2 | src/BeeDay.Web/wwwroot/css/dragdrop.css:1 | src/BeeDay.Web/wwwroot/css/feedback.css:1 | src/BeeDay.Web/wwwroot/css/forms.css:1 | src/BeeDay.Web/Components/Layout/MobileSidebar.razor.css:1 | src/BeeDay.Web/Components/Features/ProfileCreation/Pages/CreateProfile.razor.css:1 | src/BeeDay.Web/Components/Features/ProfileCreation/Pages/Welcome.razor.css:1 | src/BeeDay.Web/Components/Features/Dashboard/Components/ActivityFilterBar.razor.css:1 | src/BeeDay.Web/Components/DesignSystem/Cards/BeeDayCardMenu.razor.css:1 | src/BeeDay.Web/Components/DesignSystem/Text/BeeDayBrand.razor.css:1,42,DERIVED STATE
#fff | #ffffff,#ffffff,HEX,--beeday-color-background | --beeday-color-surface | --beeday-color-text-inverse | --beeday-color-button-success-fg | --beeday-color-button-danger-fg | --beeday-color-button-confirmation-cancel-bg | --beeday-color-button-reference-blue-fg | --beeday-game-panel,Success/Income/Positive; Danger/Expense/Negative; Neutral surface; Neutral text; Button state; Legacy game; Social provider asset,src/BeeDay.Web/Components/Features/Projects/Components/ProjectWorkspace.razor.css:9 | src/BeeDay.Web/wwwroot/css/variables.css:8 | src/BeeDay.Web/Components/Features/ProfileCreation/Pages/Welcome.razor.css:4 | src/BeeDay.Web/wwwroot/css/vendor/nes-core.beeday-excerpt.css:3 | src/BeeDay.Web/Components/Features/Wallets/Services/TagContrastCalculator.cs:3 | src/BeeDay.Web/Components/DesignSystem/Cards/BeeDayCardMenu.razor.css:3 | src/BeeDay.Web/wwwroot/app.css:2 | src/BeeDay.Web/wwwroot/css/cards.css:2 | src/BeeDay.Web/wwwroot/icons/sprite.svg:2 | src/BeeDay.Web/wwwroot/css/design-system.css:1 | src/BeeDay.Web/wwwroot/icons/devicon/social/facebook.svg:1 | src/BeeDay.Web/wwwroot/icons/devicon/social/linkedin.svg:1,39,DUPLICATE
"#171321 | rgb(23,19,33)",#171321,HEX | RGB,--beeday-color-button-warning-fg | --beeday-color-button-confirmation-cancel-fg | --beeday-game-ink,Warning; Button state; Legacy game,src/BeeDay.Web/wwwroot/css/pixel-nes.css:3 | src/BeeDay.Web/wwwroot/css/variables.css:3,6,DUPLICATE
#000,#000000,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/css/design-system.css:5,5,HARDCODED
"#212529 | rgb(33,37,41)",#212529,HEX | RGB,,Unmapped hardcode,src/BeeDay.Web/wwwroot/css/vendor/nes-core.beeday-excerpt.css:4,4,LEGACY
#7A4FCB | #7a4fcb,#7a4fcb,HEX,--beeday-color-tag-default,Wallet tag,src/BeeDay.Web/wwwroot/app.css:1 | src/BeeDay.Web/wwwroot/css/variables.css:1 | src/BeeDay.Web/Components/Features/Wallets/Components/TransactionCard.razor:1 | src/BeeDay.Web/Components/Features/Wallets/Models/WalletTagFormModel.cs:1,4,SPECIALIZED
#006bb3,#006bb3,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/css/vendor/nes-core.beeday-excerpt.css:3,3,LEGACY
#761919,#761919,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/css/identity.css:2 | src/BeeDay.Web/Components/Features/Authentication/Pages/Login.razor.css:1,3,HARDCODED
#786f80,#786f80,HEX,--beeday-color-card-description,Card,src/BeeDay.Web/Components/Features/Projects/Components/ProjectWorkspace.razor.css:2 | src/BeeDay.Web/wwwroot/css/variables.css:1,3,SPECIALIZED
#adafbc,#adafbc,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/css/vendor/nes-core.beeday-excerpt.css:3,3,LEGACY
#f2eef7,#f2eef7,HEX,--beeday-color-filter-surface-tint,Neutral surface,src/BeeDay.Web/Components/Features/Dashboard/Components/ProjectContextFilter.razor.css:2 | src/BeeDay.Web/wwwroot/css/variables.css:1,3,OFFICIAL NEUTRAL
rgb(255 255 255 / 92%),rgba(255 255 255 / 0.920),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/Components/Features/Home/Pages/Home.razor.css:2 | src/BeeDay.Web/wwwroot/css/feedback.css:1,3,DERIVED STATE
#0076b2,#0076b2,HEX,,Social provider asset,src/BeeDay.Web/wwwroot/icons/sprite.svg:1 | src/BeeDay.Web/wwwroot/icons/devicon/social/linkedin.svg:1,2,SPECIALIZED
#1654b0,#1654b0,HEX,--beeday-color-brand-primary-hover | --beeday-color-brand-primary-light,Brand,src/BeeDay.Web/wwwroot/css/variables.css:2,2,OFFICIAL BRAND
#181616,#181616,HEX,,Social provider asset,src/BeeDay.Web/wwwroot/icons/sprite.svg:1 | src/BeeDay.Web/wwwroot/icons/devicon/social/github.svg:1,2,SPECIALIZED
#1d5d2c,#1d5d2c,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/css/identity.css:1 | src/BeeDay.Web/Components/Features/Authentication/Pages/Login.razor.css:1,2,HARDCODED
#2f2737,#2f2737,HEX,--beeday-color-brand-yellow-foreground | --beeday-color-text-primary,Brand; Neutral text,src/BeeDay.Web/wwwroot/css/variables.css:2,2,DUPLICATE
#335f71,#335f71,HEX,--beeday-color-info | --beeday-color-task,Info; Task category,src/BeeDay.Web/wwwroot/css/variables.css:2,2,DUPLICATE
#3d5a98,#3d5a98,HEX,,Social provider asset,src/BeeDay.Web/wwwroot/icons/sprite.svg:1 | src/BeeDay.Web/wwwroot/icons/devicon/social/facebook.svg:1,2,SPECIALIZED
#4f3b5b,#4f3b5b,HEX,--beeday-color-chrome-icon,Unmapped hardcode,src/BeeDay.Web/wwwroot/css/variables.css:1 | src/BeeDay.Web/Components/Features/Dashboard/Components/ProjectContextFilter.razor.css:1,2,DERIVED STATE
#756c7d,#756c7d,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/css/cards.css:2,2,HARDCODED
#8056C7 | #8056c7,#8056c7,HEX,--beeday-color-project,Project category,src/BeeDay.Web/wwwroot/css/variables.css:1 | src/BeeDay.Web/Components/Features/Projects/Models/ProjectEditorModel.cs:1,2,SPECIALIZED
#aea5b5,#aea5b5,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/app.css:2,2,HARDCODED
#b9b1bf,#b9b1bf,HEX,,Unmapped hardcode,src/BeeDay.Web/Components/Features/Projects/Components/ProjectWorkspace.razor.css:2,2,HARDCODED
#ddd7e0,#ddd7e0,HEX,,Unmapped hardcode,src/BeeDay.Web/Components/Features/Projects/Components/ProjectWorkspace.razor.css:2,2,HARDCODED
#dff5df,#dff5df,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/css/identity.css:1 | src/BeeDay.Web/Components/Features/Authentication/Pages/Login.razor.css:1,2,HARDCODED
#e1dce4,#e1dce4,HEX,,Unmapped hardcode,src/BeeDay.Web/Components/Features/Projects/Components/ProjectWorkspace.razor.css:2,2,HARDCODED
#ebe7ef,#ebe7ef,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/css/feedback.css:2,2,HARDCODED
#ffd9d9,#ffd9d9,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/css/identity.css:1 | src/BeeDay.Web/Components/Features/Authentication/Pages/Login.razor.css:1,2,HARDCODED
rgb(23 19 33 / 8%),rgba(23 19 33 / 0.080),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/wwwroot/app.css:1 | src/BeeDay.Web/wwwroot/css/identity.css:1,2,DERIVED STATE
rgb(255 255 255 / 55%),rgba(255 255 255 / 0.550),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/wwwroot/css/cards.css:2,2,DERIVED STATE
rgb(255 255 255 / 62%),rgba(255 255 255 / 0.620),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/wwwroot/css/cards.css:2,2,DERIVED STATE
rgb(255 255 255 / 72%),rgba(255 255 255 / 0.720),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/wwwroot/css/cards.css:2,2,DERIVED STATE
rgb(255 255 255 / 88%),rgba(255 255 255 / 0.880),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/wwwroot/css/cards.css:2,2,DERIVED STATE
rgb(47 36 56 / 9%),rgba(47 36 56 / 0.090),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/Components/Features/Dashboard/Components/DashboardColumn.razor.css:2,2,DERIVED STATE
rgb(51 40 58 / 12%),rgba(51 40 58 / 0.120),RGB,,Derived alpha/shadow/overlay,src/BeeDay.Web/Components/Features/Onboarding/Pages/Tutorial.razor.css:2,2,DERIVED STATE
#0087ff,#0087ff,HEX,,Unmapped hardcode,src/BeeDay.Web/Components/Layout/ReconnectModal.razor.css:1,1,HARDCODED
#064b78,#064b78,HEX,--beeday-color-button-reference-blue-shadow,Shadow/depth; Button state,src/BeeDay.Web/wwwroot/css/variables.css:1,1,DERIVED STATE
#075b8f,#075b8f,HEX,--beeday-color-button-reference-blue-outline,Button state,src/BeeDay.Web/wwwroot/css/variables.css:1,1,DERIVED STATE
#0879b5,#0879b5,HEX,--beeday-game-blue-dark,Legacy game,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#087fbe,#087fbe,HEX,--beeday-color-button-reference-blue-depth,Button state,src/BeeDay.Web/wwwroot/css/variables.css:1,1,DERIVED STATE
#108de0,#108de0,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/css/vendor/nes-core.beeday-excerpt.css:1,1,LEGACY
#124490,#124490,HEX,--beeday-color-brand-primary-active,Brand,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL BRAND
#159d6c,#159d6c,HEX,--beeday-habit-color-green-dark,Habit category,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#17111f,#17111f,HEX,,Unmapped hardcode,src/BeeDay.Web/Components/Features/Wallets/Services/TagContrastCalculator.cs:1,1,HARDCODED
#17121d,#17121d,HEX,,Unmapped hardcode,src/BeeDay.Web/Components/Features/Dashboard/Components/DashboardColumn.razor.css:1,1,HARDCODED
#17203B,#17203b,HEX,,Unmapped hardcode,src/BeeDay.Web/Components/Layout/AppFooter.razor.css:1,1,HARDCODED
#174a2d,#174a2d,HEX,--beeday-color-button-success-shadow,Success/Income/Positive; Shadow/depth; Button state,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL SEMANTIC
#185abd,#185abd,HEX,--beeday-color-brand-primary,Brand,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL BRAND
#1a6139,#1a6139,HEX,--beeday-color-button-success-outline,Success/Income/Positive; Button state,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL SEMANTIC
#1f8a99,#1f8a99,HEX,--beeday-color-attribute-dexterity,Attribute category,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#209cee,#209cee,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/css/vendor/nes-core.beeday-excerpt.css:1,1,LEGACY
#20b4f4,#20b4f4,HEX,--beeday-color-button-reference-blue-bg,Button state,src/BeeDay.Web/wwwroot/css/variables.css:1,1,DERIVED STATE
#2297a8,#2297a8,HEX,--beeday-habit-color-sky-dark,Habit category,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#236b37,#236b37,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/app.css:1,1,HARDCODED
#244554,#244554,HEX,--beeday-color-task-dark,Task category,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#24cc8f,#24cc8f,HEX,--beeday-habit-color-green,Habit category,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#26b050,#26b050,HEX,,Unmapped hardcode,src/BeeDay.Web/wwwroot/app.css:1,1,HARDCODED
#27a8e8,#27a8e8,HEX,--beeday-game-blue,Legacy game,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#287d4d,#287d4d,HEX,--beeday-color-button-success-depth,Success/Income/Positive; Button state,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL SEMANTIC
#2dbcf8,#2dbcf8,HEX,--beeday-color-button-reference-blue-bg-hover,Button state,src/BeeDay.Web/wwwroot/css/variables.css:1,1,DERIVED STATE
#2f9e5b,#2f9e5b,HEX,--beeday-color-success,Success/Income/Positive,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL SEMANTIC
#302638,#302638,HEX,--beeday-color-card-title,Card,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#332b43,#332b43,HEX,--beeday-game-ink-soft,Legacy game,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#36a866,#36a866,HEX,--beeday-color-button-success-bg,Success/Income/Positive; Button state,src/BeeDay.Web/wwwroot/css/variables.css:1,1,OFFICIAL SEMANTIC
#39c5d7,#39c5d7,HEX,--beeday-habit-color-sky,Habit category,src/BeeDay.Web/wwwroot/css/variables.css:1,1,SPECIALIZED
#44394b,#44394b,HEX,,Unmapped hardcode,src/BeeDay.Web/Components/Features/Projects/Components/ProjectWorkspace.razor.css:1,1,HARDCODED
